Sample ,Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,23,15,69,2,1,1,1,1,1,0,26,18,0,21,0,8,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,21,39,158,3,1,1,1,1,1,0,19,17,0,17,0,8,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,21,62,194,5,0,1,1,1,1,1,33,27,0,42,0,7,"1,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,22,77,150,5,1,1,1,1,1,0,60,55,0,65,0,6,"1,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,28,78,144,6,0,1,1,1,1,0,13,7,0,24,0,14,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,25,4112,1091,71,0,1,1,0,1,1,26,9,0,334,0,1,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,46,428,97,19,1,1,1,1,1,1,27,11,0,38,1,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,23,281,371,16,1,0,1,1,1,0,16,2,0,296,0,3,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,29,412,204,11,1,0,1,1,1,0,60,45,0,141,0,8,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,22,654,226,33,1,1,1,0,0,0,37,9,0,234,0,5,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,21,2294,0,33,0,0,1,0,1,0,12,4,0,0,0,9,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,18,831,772,14,0,0,1,0,1,1,22,13,0,20,1,16,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,18,271,479,16,1,0,1,0,1,1,55,30,0,758,0,3,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,29,1674,615,42,1,1,1,0,1,1,26,11,0,48,0,12,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,24,118,213,8,1,1,1,1,1,1,30,18,0,41,0,2,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,20,349,181,14,0,1,1,0,1,0,15,8,0,26,0,1,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,22,2321,1686,42,0,1,1,0,1,0,34,19,0,543,0,9,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,23,83,685,8,1,0,1,0,1,0,31,12,0,36,1,6,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,21,612,506,16,0,0,1,0,1,0,40,27,0,37,0,3,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,21,1334,0,28,0,0,0,0,1,0,18,8,0,79,0,12,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,20,390,302,16,0,0,1,1,1,0,4,2,0,14,0,11,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,25,9022,2123,140,0,1,1,0,1,1,50,35,1,332,0,2,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,22,158,72,13,1,1,1,1,1,0,3,1,0,31,0,8,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,20,1192,1105,26,0,1,1,0,1,0,11,1,0,149,0,2,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,26,507,665,18,1,0,0,0,1,0,31,17,0,367,0,7,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,21,162,334,10,1,1,1,0,1,0,10,4,0,77,0,1,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,23,385,309,32,0,0,1,0,1,1,654,546,0,146,0,5,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,24,70,1,6,1,0,1,0,1,0,2,5,0,28,0,3,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,24,944,0,110,0,1,1,0,1,0,63,4,0,230,0,10,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,21,233,4,11,1,0,1,0,1,0,14,2,0,35,0,17,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,24,576,432,10,1,1,1,0,1,1,535,434,0,330,0,5,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,22,2011,7,64,0,1,1,1,1,1,3,4,0,11,0,2,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,20,218,2,23,0,1,1,0,1,0,14,28,0,212,0,12,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,24,845,9,8,1,0,1,0,1,0,0,0,0,43,0,3,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,21,1374,0,42,1,1,1,1,1,0,9,11,0,47,0,2,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,23,1200,3,36,0,1,1,1,1,0,2,1,0,33,0,1,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,20,209,0,12,1,1,1,1,1,1,0,0,0,186,0,20,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,21,1035,4,27,0,0,1,0,1,0,1,2,0,46,0,0,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,55,215,0,58,0,0,1,0,1,1,5,7,1,173,0,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,25,1688,1,106,1,1,0,0,1,1,0,0,0,2,0,10,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,39,106,1,10,0,1,1,0,1,1,16,31,1,77,0,1,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,17,164,1,9,1,1,0,0,1,1,0,18,0,477,1,2,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,21,312,0,11,0,0,1,0,1,1,0,2,0,2,0,4,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,21,720,1,18,0,1,1,0,1,0,2,21,0,83,0,2,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,25,659,9,37,1,1,1,0,1,1,15,44,0,69,0,10,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,31,393,158,17,0,0,1,1,1,0,14,17,0,58,1,1,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,18,128,62,4,1,0,1,0,1,0,24,12,0,802,0,1,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,27,310,205,6,0,1,1,0,1,1,2,0,0,10,0,2,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,38,135,67,4,0,0,1,1,1,1,17,28,1,11,1,0,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,27,212,92,7,0,1,1,1,1,0,3,1,0,6,0,0,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,20,140,123,2,1,1,1,1,1,0,12,18,0,71,0,7,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,17,41,63,0,1,1,1,1,1,0,1,1,0,306,1,4,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,35,86,76,1,1,1,1,0,1,0,3,3,0,91,0,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,37,419,76,8,0,1,1,0,1,1,16,27,1,109,0,3,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,20,330,314,1,0,0,1,0,1,0,2,0,0,13,0,1,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,24,130,221,6,0,1,1,1,1,1,3,3,0,90,0,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,24,212,113,4,0,1,1,0,1,0,3,4,0,124,0,0,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20,96,12,0,1,0,1,0,1,1,6,5,0,16,0,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,16,36,12,0,1,0,1,1,1,0,18,25,0,142,1,6,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,19,12,0,0,1,0,1,1,1,0,0,0,0,54,0,3,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,36,201,102,6,0,1,1,0,1,1,6,7,1,62,0,1,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,25,165,95,4,1,1,1,1,1,1,5,2,1,14,0,2,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,29,124,36,5,0,1,1,0,1,1,6,3,1,2,0,1,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,24,315,187,9,0,1,1,1,1,1,12,15,0,201,0,4,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,25,125,140,3,1,1,1,1,1,1,3,1,0,3,0,1,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,46,20,3,1,0,1,1,0,1,1,0,0,1,0,1,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,22,127,671,9,1,1,1,0,1,1,10,12,0,51,0,1,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,18,229,396,1,0,0,1,0,1,1,49,4,0,30,0,9,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,20,458,7191,8,1,1,1,1,1,1,24,1,0,36,0,7,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,18,308,392,9,0,0,1,1,1,0,46,9,0,4,0,20,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,27,47,431,1,1,1,1,1,1,0,44,23,0,31,0,19,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,22,40,199,1,0,0,1,1,1,1,0,18,0,36,0,16,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,37,53,300,7,0,0,1,0,1,0,0,19,0,41,0,27,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,23,8,430,5,1,1,1,0,1,0,13,5,0,17,0,26,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,40,3,19,6,0,1,0,1,1,0,21,40,0,36,0,9,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,36,100,536,6,0,0,0,0,1,0,32,44,0,14,0,13,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,19,205,264,1,1,0,0,1,1,1,26,10,0,18,0,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,35,34,326,1,0,1,1,0,1,1,8,50,0,14,0,7,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,22,537,20,2,1,1,0,0,1,1,44,30,0,30,0,15,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,25,31,214,4,1,1,0,1,1,1,49,45,1,25,0,10,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,23,319,11,4,1,1,1,0,1,0,7,1,0,47,0,17,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,33,88,466,6,1,1,1,1,1,0,13,42,0,18,0,29,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,18,369,579,7,0,0,0,1,1,0,6,46,0,31,0,30,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,26,157,202,6,0,0,1,1,1,0,16,45,1,3,0,5,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,39,95,442,1,0,1,1,1,1,1,19,31,0,40,0,12,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,39,285,325,1,0,0,1,1,1,0,41,16,0,9,0,4,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,20,50,35,4,1,1,0,1,1,0,43,48,1,38,0,17,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,20,1394,1008,34,0,0,1,0,1,0,12,10,0,30,0,0,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,21,93,237,7,1,0,1,0,1,0,24,16,0,93,0,1,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,22,45,379,4,1,1,1,1,1,1,12,10,0,20,0,2,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,21,348,677,13,1,1,1,0,1,1,168,31,0,95,0,5,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,19,46,12,10,1,0,1,0,1,0,1,0,0,339,1,1,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,20,24,102,4,1,0,1,0,1,0,4,0,0,38,0,4,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,21,245,237,16,1,0,1,0,1,0,36,8,0,365,0,3,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,21,63,174,5,1,0,1,0,1,1,12,1,0,109,0,2,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,20,757,1020,43,0,1,1,1,1,0,31,11,0,303,0,1,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,46,24,48,11,1,1,1,0,1,1,2,0,1,82,0,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,19,134,128,8,0,0,1,1,1,0,138,4,0,2619,1,20,4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,20,226,718,14,1,0,1,1,1,1,10,6,0,1064,0,3,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,20,1,1,2,1,0,1,0,1,0,2,0,0,2,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,20,48,397,6,1,1,1,1,1,1,2,0,0,324,0,0,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,15,44,30,6,1,0,1,1,1,0,6,5,0,139,1,3,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,22,104,903,17,1,0,1,0,1,0,18,8,0,156,0,6,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,23,515,267,22,1,0,1,0,1,0,13,4,0,799,0,3,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,21,200,184,15,1,1,1,0,1,1,37,25,0,1597,0,2,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,20,75,459,8,1,0,1,1,1,0,33,5,0,117,0,9,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,46,283,103,35,1,1,1,1,1,1,25,63,1,114,0,0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,20,161,573,13,0,0,1,1,1,1,9,6,0,30,0,4,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,22,197,190,5,1,1,1,1,1,0,55,92,0,18,1,10,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,23,1788,1602,22,0,1,1,1,1,0,128,225,0,12,0,4,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,24,305,1,13,0,1,0,1,1,1,2,0,0,64,0,10,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,20,1222,1200,4,1,1,1,1,1,0,48,97,0,21,0,11,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,19,52,50,1,1,1,1,1,1,0,56,152,0,8,0,6,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,22,136,136,3,1,1,1,1,1,1,24,9,1,4,0,7,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,22,852,852,8,1,1,1,1,1,0,165,145,0,9,0,4,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,25,1395,730,35,1,1,1,0,1,0,203,250,0,13,1,4,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,29,289,287,3,0,1,1,1,1,0,9,12,0,8,1,4,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,52,48,48,2,0,1,1,1,1,0,15,10,3,7,0,3,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,17,27,27,1,1,1,1,1,1,1,2,3,0,0,1,1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,20,2276,2253,31,0,1,1,0,1,1,175,145,0,5,1,1,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,22,452,452,6,1,1,1,1,1,1,91,115,0,9,0,8,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,22,789,712,9,0,1,1,1,1,0,16,22,0,11,0,12,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,23,67,61,1,0,1,1,1,1,0,14,3,0,2,0,9,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,24,621,603,8,0,1,1,1,1,1,79,56,0,20,1,7,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,25,15,15,1,1,1,1,0,1,1,1,0,0,0,1,10,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,21,267,267,3,1,1,1,1,1,1,4,0,0,1,0,2,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,22,98,98,2,1,1,1,1,1,1,9,2,0,3,0,3,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,20,1784,1692,19,1,1,1,1,1,1,89,43,0,17,0,4,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,34,17,17,1,1,1,1,1,1,1,5,1,1,1,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,18,197,140,5,1,1,1,1,1,0,5,14,0,12,1,2,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,16,289,189,8,1,1,1,1,1,0,7,26,0,16,1,0,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,17,324,126,2,1,1,1,1,1,0,13,32,0,39,1,4,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,18,67,12,8,1,1,1,0,1,0,5,14,0,6,1,1,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,22,54,24,12,1,1,1,0,1,0,12,45,0,14,1,2,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,22,604,204,10,0,0,1,0,1,1,18,14,0,35,0,0,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,17,266,125,20,0,1,1,0,1,1,16,16,0,34,0,0,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,21,874,312,24,0,1,1,0,1,1,2,28,0,4,0,0,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,18,1067,569,19,0,1,1,0,1,1,8,24,0,15,1,6,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,20,456,102,8,0,1,1,0,1,0,14,17,0,29,1,7,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,20,249,21,6,1,1,1,1,1,1,16,29,0,24,0,4,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,17,42,15,3,1,1,1,0,1,0,26,28,0,54,1,2,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,22,86,41,4,1,0,1,0,1,0,1,48,0,103,0,1,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,18,47,6,2,1,0,1,0,1,1,7,26,0,59,1,0,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,26,910,103,13,0,1,1,1,1,0,13,15,0,13,0,4,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
